query_param,article_name,article_source,article_url,article_img_src
science & technology,Scientists confirm time travel is possible and that people have already done it,LADbible,https://news.google.com/read/CBMimgFBVV95cUxQMVUxTmhsWURRdVVTTnRzS3Utai1fbGdTSWZrU1dDMTlBdmZfbnMxLUxiTUE0b0lEYVZQZFFMNUJBVFRiNUdwYTZlNWxOX3hZNHNpcU1fbnJYRlpBUjktRnFIdFBZVTdfUFFmNHp0MDJacDljcWljaVFZOUdYUHNmM1FsWUJrVFBOMU9OLUpEUklRVER6SFJzeUJ3?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/api/attachments/CC8iJ0NnNUpPVEZmU2xZMk5VeGpjM1ZwVFJDZkF4ampCU2dLTWdPcGRoWQ=-w200-h112-p-df-rw
science & technology,Baffling Scientists: Galactic Spin Mystery Challenges Big Bang Assumptions,SciTechDaily,https://news.google.com/read/CBMioAFBVV95cUxQQ1o3eWQ0X1FuRmJLczk3NWNkV2F1YzkyWEloTlZ3NVdkMmUyUi1MbVFvbHROdnA4eGJwTmNnUXNwcUV6a0pub0lNa2ZqUkJtUm5OdXhuM0NqTk5ZOVVNeWNKZTlDQ0VZbTR0a0ttdk1kcVRKQWo2LTFFUTljZ0hJdE5fdzljWFpQRDl1V0RBX2FPQVFEcEx2UU5UaUVfYVBF?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVNhM0pLVVhJeWExcEZiRmcxVFJERUF4aW1CU2dLTWdhZGM1S01MUWM=-w200-h112-p-df-rw
science & technology,Science shines in Dantewada,The New Indian Express,https://news.google.com/read/CBMilAFBVV95cUxQbnN3RjVNSEdET2FVM0pZLXlyTUhNODhQLUVhTlpiNEJUNEpoYnQ5TVFwaDdtNUlfb1k3eFZJdjlUWUxxZEdTNjZwcFhZMVZxbGVLTTB5WXNldHU4cG1uYk1tazNqTnhXOWZsWU51RktQcHloaFFRek9VNEJoX08zeXJpQ3AweW1YTDlVQTg5SnZBZzZa0gGiAUFVX3lxTE5tRFBZLWVmWmxTUG43OC1JeTF1TURwalRVVUR4dDdrQ2diZGNuVHJncmtEbnpCRThLc3k1dXc1ZmYyX2xvWVhvRWVoWEFtOGFheXRub3h5VXJTNmYxeXAwNU0zOVpFYkVSMElYSW1YNHhRV1paX21ObTlCeFU2WWlKaGRlOE1RZ3VMU0lfTjBGeHVIQmo1QlVnQldKakFqU09wZw?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/api/attachments/CC8iL0NnNW9hbEZvUVhOVU1ubzBZWFJTVFJEaEF4ai1CQ2dLTWdrQm9JYVhRQ2FpY0FF=-w200-h112-p-df-rw
science & technology,Penguin Eggs Turn Transparent When Boiled? What Science Says,NDTV,https://news.google.com/read/CBMitAFBVV95cUxONTFOSGYwV2FOeXhSUkJBYWEtdkc3Tmd2UEpiRV9MbkRjUXFzSWtWVHRuWDFUYkdHazlrVGNHYXAxQmpVX3U2LVpWRWJHYy13a1FCRjBuQ1ZjUFBub1VvRnhHbU1obGJvdS1RRGxSUnF1MUlxMndseHN1aDBod0N5REhqWUZmVXZWV2ZobENGV280S1RqTzU3UTVSSFBRNFVzUDgtcU9mOVZFS1BDYnJoRk1jTXXSAbwBQVVfeXFMUG9PQVRpLXpXUmlmbEM3X0MwemEwclpibTAzSkdaSmxiRnQ2ak9hQmFPWmpiQmdMX3V5cU5HSzRpcXZ1QXJmV0xFcm5RUVZ0clc1Qm9ZZ0dLQTl3aDRrSjNNcUplUllPaElVVTRnX1pjVndpTnRYSFFEbVhuLWZ5XzZUZ1B4WkNaSjlnMFBNTTJIWGdQSW0wcEE5MGdBYXBpU2p0RnYtcTBlT3E0WEdsVHZHWHdYQzVyMUZEWU8?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/api/attachments/CC8iI0NnNUdWR1ZITlROTmVVbHJka1J4VFJDeUF4akNCU2dLTWdB=-w200-h112-p-df-rw
science & technology,Science and Society- Learnings from Vedas,Daily Excelsior,https://news.google.com/read/CBMifEFVX3lxTFBWRk9selFEblNjeXJKaUdKVGhqUDZubXE4TjB6dmxBaERDWXBZTUJKTVRMUVlmdTFxSnQwOGxIN3lqMkRBbWxwTXRoYjFCNWN6bU1sR2pjcmZNaVhpVzBmN19mZkNXSUhIWEd5SjZyT09SR2xYd3YwaFM2OHE?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVJNRGgyYW5OVE56RkZRamxQVFJEUkF4aVVCU2dLTWdhaEJJU3RHUVk=-w200-h112-p-df-rw
science & technology,Use science & tech to find solutions to problems: Conrad to students,The Times of India,https://news.google.com/read/CBMi2AFBVV95cUxPVWNhYms0alFDb1BYekpUMC12TUtSRkplM2RlNG50Vk50MGI5S09naXpkemVuLW1tTFRTM0NHX281MVkyTm1TQ1VzZlFDNHExSkloVV9ua2RiS19IaFZDOFZ4S0xBODJkeTNqaXYtUWdZa3dNcGlORVFkWTJ3OW1aNWp2UEZtRTNMSy1MZFNJZzBicDAtSm0wWEZCWXhlVzZsXzlKcmNHY3lwYzRZZEVWUGJlZHpDaTVicGJtbGJPMEplUEYtd1R0aEltOV9CbTNPS2QtNVI5OGHSAd4BQVVfeXFMTl9XbVJLSDMtTmFxcXV1S0RjN1VpQTFKUmdwaEk0dm11Q2JTRThMNU41N2VxejAtVS1pbTNDYmhqNXlLeTRycHJYMXgxcDhDdFBZQTlKOTFPYzQ1ZW5fMF8xYTBwYlJrMFhBZERRUl94b1luS19rSThwNHptUWlMZTBTa2Jrdl9SV0VaZlY0Sm85UThHektPN1EwSTFMQlZydHRkdEdvOXY2RTJxNFZ3NWNIR2EycHAxczJGT1ZRdldBM09rWTZvaUFSY0M4MGYwakFSbXJYYXNzSEFRMlF3?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/api/attachments/CC8iL0NnNTJXVEpYYjB4NWRHNUVORXQyVFJDZkF4ampCU2dLTWdtZFU0cU1wYVNpYndF=-w200-h112-p-df-rw
science & technology,‘Sacred science revealed’: Why barefoot walking in temples rewires your energy system,Business Today,https://news.google.com/read/CBMi4gFBVV95cUxQRXZZdFRweHlVUTA2d05sYjFvcXp4ZWxveVBQbXFzVmQ2cU5WcUpsQjd0aFB6dzBNczF3RklVTzI2VVhjZjNMeDBJXzhtdEc3Y3piUmZJa1BvR0ZuVzJVOXBycnY2U2ZZdFNvOWRxRUw1VHRPbVQ0SjNwdjZtVTdXUjNGWnB4RGRob2Q3U2lDSUxqMkFtZGdGR0ltVmJHM3BWMDhHNHBQbzE1LUlDMzByMG9wTDUyR0ZRYVIyd2poSTZGQ3ZLekpHZGl4WGZzLVEtZkxHT2swNS1lVXQ3VWxNa01R0gHiAUFVX3lxTFBFdll0VHB4eVVRMDZ3TmxiMW9xenhlbG95UFBtcXNWZDZxTlZxSmxCN3RoUHp3ME1zMXdGSVVPMjZVWGNmM0x4MElfOG10RzdjemJSZklrUG9HRm5XMlU5cHJydjZTZll0U285ZHFFTDVUdE9tVDRKM3B2Nm1VN1dSM0ZacHhEZGhvZDdTaUNJTGoyQW1kZ0ZHSW1WYkczcFYwOEc0cFBvMTUtSUMzMHIwb3BMNTJHRlFhUjJ3amhJNkZDdkt6SkdkaXhYZnMtUS1mTEdPazA1LWVVdDdVbE1rTVE?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/api/attachments/CC8iK0NnNHhkbGw0YTI5T1lqZzJTMWR1VFJDQUJSamdBeWdLTWdhZEJJb3F1Z1E=-w200-h112-p-df-rw
science & technology,Aditya Nigam and Hilal Ahmad win Ramchandra Khan Social Science Award,The Hindu,https://news.google.com/read/CBMizwFBVV95cUxOS3pBYVZkdE9wZWdYVEJISVBYZmpuZ0Z2djRoZ0ZfeC1UVFROSmE1MUwtWXZJVUFINWVDbWFxZWV6LV9TVWpMS0Y5bnZiLUdlSldaZnU4eDZ3TVZDRXJkY3ZHWllHQVA0YTZxcUpJMHlMbzl3UVN5bFcxVlhUYmtjSFNrSDVaRUFldmUxVHNhN1c4RjlTZFotMFJieVNLRXlNU1BJSTR5VXB6TllEUzlJbElWNkwyY1dsc3NCYkZyRU1ZMHR1U0ZCRHJmSUdGTW_SAdYBQVVfeXFMTTVxOWkyRERPQTFveXYxSXZGN2JjcmlxT1JRdmNzd0s2UWRfOTNWdU13MXJraDU3X3Q5Rmw2TnB5eU1aNXFnTTd6UkROSG92bmZlc3l2WGFlOEVyQTcyZlZzWHN5V3RHOHNZQklrSko1Y1dvelc0TU82QkNQTDVMc1hkS25GcEt2RDNFVzFocjVvX3REWXJxQWN6ZW1UYUpXUEpBLUtjMXV2NkJSY2VzVFdhbm5mNGRjREgyd19kVzBDOWJTMXkxM05LeVF1bnl5ZjZuZHNPUQ?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUxjMll5TjBOVFpUQjRNSEZ4VFJDcUJCaXFCQ2dLTWdhTmtwQUlOUVk=-w200-h112-p-df-rw
science & technology,Southern Ocean is mysteriously cooling as scientists make a surprise discovery,India Today,https://news.google.com/read/CBMi0wFBVV95cUxQc1NHNGlVTTdPa3N0MFQ5NGJ2bnFET0Z0dy1FeURCdTdaQzdHZWRscmgyODVrTFpWNGdRcG1JMUNUU2dyVnhfRWlzSTA2dF95STJSbHo2b3UzQWhsX19hamV1c05nRFNSSHp0WUFvZTgxUm1mY2lZellYZnVUa05Cbld3a3Z1ZVhIc0RjRkYteVVuSXJ1czR4X0VGcFJESF9fTzJCRUZmLWlMQ3I3UzZScnpwTF9SRHREZVVOR092N3NVZEREM1hLMkxlZzBWRGxUekNn0gHYAUFVX3lxTFBDVEFEeDRLenExelFhcmROR18tNkZ5ek1pdUdWbzMwVVVVMUs1S284MzBrX1JDWVlGUHVJakFvYTBaRWJMXzg0ZDZ3Q3Rrd29SYXJpSUhhSXpsVXJPdFRwWVp5eUoxUldOV1VxdUY2UWtQVnliSUVxT09xdXhoRGpfVDVna1Z1T3l6V3V0TkU0bzlocV9wVWIxYURldjVzVUdOSzRpZUlHOWV0SVgwc0gteW5nWWNEUjJsdVoyNC1WdERsTzdqT3JKbW1aYno5UzEwWG16WUtndA?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/api/attachments/CC8iJ0NnNXhhRmQ0U1RoblNFOU1WSEZvVFJDZkF4ampCU2dLTWdNQk13NA=-w200-h112-p-df-rw
science & technology,"CBSE Class 12 Syllabus Released 2025-26 (Arts, Commerce, Science): Download PDFs",Jagran Josh,https://news.google.com/read/CBMixwFBVV95cUxOb1BCR05BM2M4dy0wc19XTzlubVR2RklYbDl3TVBGVE9hYjdjX2Ewby1xSU5RTUQtLU1qRTNEcVhmV3RsY1RlRTFVWnJpcHExei1yMUw4MktscXZnUnIwUzBLYjF4aFJKT3JJOHhfYnpDQi1VNTBWVGpia2ZJXzkxTXpzcmlnOGRDV1BjUjhVNExobmtBazVOMjIzT2szeDBnVXVGUkJRa0JfbzZWeFMzMEtRZlJOX1ZDNU5zNWJGQjJHRGo4bkg0?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/api/attachments/CC8iL0NnNUJVM2wwYVcxUlExOWlWVEJGVFJDZkF4ampCU2dLTWdrRk1ZN1FtT1hJelFF=-w200-h112-p-df-rw
